ANP;DESCRICAO
110203073;ABO 3
110204001;ABOOZAR
110204002;ABU ASAFAH
140101027;ACIDO GRAXO DE OLEO DE PALMA / DENDE
140101026;ACIDO GRAXO DE OLEO DE SOJA
740101005;ADITIVOS PARA BIODIESEL
740101004;ADITIVOS PARA ETANOL HIDRATADO
740101001;ADITIVOS PARA GASOLINA
740101006;ADITIVOS PARA LUBRIFICANTES
740101002;ADITIVOS PARA OLEO DIESEL
110203083;AGBAMI
910101001;AGUA
110103001;AGUA GRANDE
330101001;AGUARRAS MINERAL
110203091;AKPO
120204001;AL KHAYMAH
110106001;ALAGOANO
120206001;ALBA FIELD
110101001;ALBACORA
110101042;ALBACORA LESTE
810201001;ALCOOL METILICO
110204003;ALIF
330201005;ALQUILBENZENO AB10
330201006;ALQUILBENZENO AB11
330201004;ALQUILBENZENO AB9
110105001;ALTO DO RODRIGUES
110203072;AMENAN BLEND
110203001;AMNA
110201001;ANACO WAX
110101002;ANEQUIM
110203002;ANGOLANO
120205010;ANOA
110203003;ANTAN
110204004;ARABE EXTRA LEVE
110204005;ARABE LEVE
110204006;ARABE MEDIO
110204007;ARABE MEDIO BANOCO
110204008;ARABE MEDIO ZULUF
110204009;ARABE PESADO
110204010;ARABE RECON
110204011;ARABE SUPER LEVE
110105027;ARACARI
110103003;ARACAS
110103002;ARATU
110105002;ARATUM
110205001;ARDJUNA
120203002;ARGELINO
120205001;ARUM
110203004;ARZEW
120203001;AR-720
530102001;ASFALTO NATURAL
530101002;ASFALTOS DILUIDOS
110108001;ATUM
110105017;AURI
110206019;AZERJ LIGHT
110205023;BACH HO
110203092;BACH HO
110201002;BACHAQUERO
120202001;BADAK
110101003;BADEJO
110101004;BAGRE
110103004;BAIANO BORDA NORDESTE
110103005;BAIANO MISTURA
110101005;BARRACUDA
110204012;BASRAH LEVE
110204013;BASRAH MEDIO
110204014;BASRAH PESADO
110102001;BAS-60
120207003;BAYU UNDAN
110201003;BCF
110201004;BCF 22
110201005;BCF 23
110201006;BCF 24
110206001;BEATRICE
110205002;BEKOK
110203005;BELAYM
110205003;BELIDA
330201001;BENZENO
110206002;BERYL
110101006;BICUDO
110101007;BIJUPIRA
110101038;BIJUPIRA/SALEMA
120205002;BINTULU
820101001;BIODIESEL B100
820101010;BIODIESEL FORA DE ESPECIFICACAO
820101999;BIODIESEL FORA DE ESPECIFICACAO
110206003;BLACK GASOIL CRUDE OIL
110201007;BOLIVIAN BLEND
120201001;BOLIVIANO
110201008;BOLIVIANO
110103017;BOM LUGAR
110205004;BOMBAY HIGH
110203077;BONGA
110101008;BONITO
110203006;BONNY LEVE
110203007;BONNY MEDIO
110201009;BOSCAN
110203008;BOURI
110203009;BRASS BLEND
110203010;BRASS RIVER
120203004;BREGA
110206004;BRENT
610101009;BRIGHT STOCK
120205003;BRUNEI
110205005;BRUNEI LIGHT
110203092;BU ATTIFEL
110204015;BURGAN
210202003;BUTADIENO
210202001;BUTANO
210202002;BUTANO ESPECIAL
110105018;BV
110203011;CABINA/TAKULA
110203012;CABINDA
110101009;CABIUNAS MISTURA
110104001;CACAO
110104006;CACHALOTE
110106010;CAJUEIRO
110202007;CALYPSO
110106002;CAMORIM
110111002;CANARIO
110103006;CANDEIAS
110105003;CANTO DO AMARO
110201010;CANADON SECO
110201011;CANO LIMON
110201012;CARANDA
110101010;CARAPEBA
110101011;CARATINGA
110108002;CARAUNAS
110107001;CARAVELA
120202002;CARLINE
110106003;CASTANHAL
110108003;CEARA MAR
110203085;CEIBA
110201013;CEUTA
110207001;CHALLIS
110105023;CHAUA
110101012;CHERNE
110201014;CHUBUT
620501002;CICLO DIESEL
620501001;CICLO OTTO
610101005;CILINDRO I
610101006;CILINDRO II
530101001;CIMENTOS ASFALTICOS
530101020;CIMENTOS ASFALTICOS DE PETROLEO MODIFICADOS POR BORRACHA MOIDA DE PNEUS (ASFALTOS BORRACHA)
530101018;CIMENTOS ASFALTICOS DE PETROLEO MODIFICADOS POR POLIMEROS SBS
110205006;CINTA
110201015;COBLAN BLEND
110203013;COCO
110202001;COLD LAKE BLEND
120104001;CONDENSADO CAMARUPIM
120102001;CONDENSADO PARA PETROQUIMICA
110205024;CONDENSADO SENIPAH
